pedido|area_operativa|subz|ruta|municipio|contrato|acta|actividad|fecha_estado|pagina|urbrur|tipre|red_interna|tipo_operacion|descent|tipo|cobro|suminis|item_cont|item_res|cantidad|vlr_cliente|valor_costo|tipo_item
23692405|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|2026/07/02 13:22:42|015421007000600000|U|||MET||SUM|SI|REVMIB||REVMIB|1|291021|0|
23692405|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|2026/07/02 13:22:42|015421007000600000|U|||MET||SUM|NO|219404A||219404A|6|0|2400|
23692405|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|2026/07/02 13:22:42|015421007000600000|U|||MET||SUM|NO|SIMCARD||SIMCARD|1|0|0|
23692405|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|2026/07/02 13:22:42|015421007000600000|U|||MET||SUM|NO|249857||249857|1|0|672360|
23692405|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|2026/07/02 13:22:42|015421007000600000|U|||MET||CON|NO||C08U||1|0|81250.72|
23674879|SUR-ENE|MET|380|La Estrella|CW352017||ALEGA|2026/07/02 13:29:58|159106680000000101|R|||MET||SUM|SI|REVMD||REVMD|1|156556|0|
23674879|SUR-ENE|MET|380|La Estrella|CW352017||ALEGA|2026/07/02 13:29:58|159106680000000101|R|||MET||SUM|SI|CALPRO01||CALPRO01|1|108131|119300|
23674879|SUR-ENE|MET|380|La Estrella|CW352017||ALEGA|2026/07/02 13:29:58|159106680000000101|R|||MET||SUM|SI|317768P||317768P|1|355833|317453|
23674879|SUR-ENE|MET|380|La Estrella|CW352017||ALEGA|2026/07/02 13:29:58|159106680000000101|R|||MET||SUM|NO|215887A||215887A|1|0|1034|
23674879|SUR-ENE|MET|380|La Estrella|CW352017||ALEGA|2026/07/02 13:29:58|159106680000000101|R|||MET||SUM|NO|219404A||219404A|3|0|1200|
23674879|SUR-ENE|MET|380|La Estrella|CW352017||ALEGA|2026/07/02 13:29:58|159106680000000101|R|||MET||SUM|NO|SIMCARD||SIMCARD|1|0|0|
