pedido|area_operativa|subz|ruta|municipio|contrato|acta|actividad|fecha_estado|pagina|urbrur|tipre|red_interna|tipo_operacion|descent|tipo|cobro|suminis|item_cont|item_res|cantidad|vlr_cliente|valor_costo|tipo_item
23638618|SUR-ENE|MET|266|Envigado|CW352017||ALEGN|12-FEB-26|023394202200640502|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23638618|SUR-ENE|MET|266|Envigado|CW352017||ALEGN|12-FEB-26|023394202200640502|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23652304|SUR-ENE|MET|05|Medellín|CW352017||ACREV|09-FEB-26|086318006300230345|U|||MET||CON|NO||D01U||1|0|46366.32|
23652305|SUR-ENE|MET|380|La Estrella|CW352017||ACREV|10-FEB-26|159154400000000100|U|||MET||CON|NO||D01U||1|0|46366.32|
23640550|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|12-FEB-26|054729204000410129|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23640550|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|12-FEB-26|054729204000410129|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23650874|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|05-FEB-26|055118008330320302|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23650874|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|05-FEB-26|055118008330320302|U|||MET||CON|SI||C02U|C02U|1|141043|43919.5|
23638103|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|11-FEB-26|024418502100011003|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23638103|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|11-FEB-26|024418502100011003|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23638111|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|12-FEB-26|024418502100011109|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23638111|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|12-FEB-26|024418502100011109|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
